,Description,Source,Rent
79,BOARD OF REGENTS Georgia Te 010225 OOOOO,real,0
80,WF Credit Card AUTO PAY 250102 OOOOO OOOOO,real,0
81,WF Credit Card AUTO PAY 250101 90496783313038 OOOOO,real,0
82,FANNIE MAE DIRECT DEP 241227 794095968300P22 OOOOO,real,0
83,VANGUARD BUY INVESTMENT 122324 OOOOO OOOOO,real,0
84,WELLS FARGO REWARDS,real,0
85,BENEFIT PAYMENT EDI PYMNTS OOOOO OOOOO,real,0
86,ZELLE FROM OOOOO ON 12/16 REF # COFXOZ28ILLP,real,0
87,ZELLE FROM OOOOO ON 12/13 REF # COFAE2MWIWG2,real,0
88,FANNIE MAE DIRECT DEP 241213 676080547167P22 OOOOO,real,0
89,ZELLE FROM OOOOO ON 12/04 REF # COFBWR1F6ZUE,real,0
90,WF Credit Card AUTO PAY 241202 OOOOO OOOOO,real,0
91,WF Credit Card AUTO PAY 241202 OOOOO OOOOO,real,0
92,VANGUARD BUY INVESTMENT 112924 OOOOO OOOOO,real,0
93,MOBILE DEPOSIT : REF NUMBER :608010580825,real,0
94,VENMO PAYMENT 241128 1038544084601 OOOOO,real,1
95,FANNIE MAE DIRECT DEP 241129 504095267521P22 OOOOO,real,0
96,ZELLE FROM OOOOO ON 11/20 REF # COFONWFLTNTT,real,0
97,FANNIE MAE DIRECT DEP 241115 671064926312P22 OOOOO,real,0
98,ZELLE FROM OOOOO ON 11/13 REF # COFWGIOXLANZ,real,0
99,WF Credit Card AUTO PAY 241103 OOOOO OOOOO,real,0
100,WF Credit Card AUTO PAY 241101 OOOOO OOOOO,real,0
101,FANNIE MAE DIRECT DEP 241101 933134613527P22 OOOOO,real,0
102,ZELLE FROM OOOOO ON 10/31 REF # COF2J993S7XO,real,0
103,ZELLE FROM OOOOO ON 10/23 REF # COFMP3I1UBY0,real,0
104,FANNIE MAE DIRECT PAY 241022 24102210007731 OOOOO,real,0
105,FANNIE MAE DIRECT DEP 241018 944832527671P22 OOOOO,real,0
106,VENMO PAYMENT 241014 1037580892542 OOOOO,real,1
107,ZELLE FROM OOOOO ON 10/15 REF # COFM3AWEN75B,real,0
108,CAMBRIDGE TAX 241009 5932125 OOOOO,real,0
109,INVOICE CLOUD EPAYMENT 241009 5931820 OOOOO,real,0
110,FANNIE MAE DIRECT DEP 241004 932134104512P22 OOOOO,real,0
111,WF Credit Card AUTO PAY 241002 OOOOO OOOOO,real,0
112,WF Credit Card AUTO PAY 241001 OOOOO OOOOO,real,0
113,ZELLE FROM OOOOO ON 09/30 REF # COFPDAR195XB,real,0
114,TRAVELERS PER INSUR 240924 0964539 UNKNOWN *UNKNOWN,real,0
115,ZELLE FROM OOOOO ON 09/25 REF # COF2NJWIDU0B,real,0
116,WELLS FARGO REWARDS,real,0
117,FANNIE MAE DIRECT DEP 240920 678079323062P22 OOOOO,real,0
118,ONLINE TRANSFER REF #IB0PL55V4P TO WELLS FARGO AUTOGRAPH VISA CARD OOOOO ON 09/16/24,real,0
119,ZELLE FROM OOOOO ON 09/16 REF # COFALA7W9JGN,real,0
120,TRAVELERS PER INSUR 240909 5951844 UNKNOWN *UNKNOWN,real,0
121,VENMO PAYMENT 240908 1036794655691 OOOOO,real,1
122,FANNIE MAE DIRECT DEP 240906 634092560472P22 OOOOO,real,0
123,ONLINE TRANSFER REF #IB0PGM3H3N TO WELLS FARGO ACTIVE CASH VISA CARD OOOOO ON 09/05/24,real,0
124,WF Credit Card AUTO PAY 240902 OOOOO OOOOO,real,0
125,WF Credit Card AUTO PAY 240902 OOOOO OOOOO,real,0
126,ZELLE FROM OOOOO ON 09/03 REF # COFC68377FCT,real,0
127,VENMO PAYMENT 240830 1036619478116 OOOOO,real,0
128,ZELLE FROM OOOOO ON 08/29 REF # JPM99AMRB1DA COSTCO RUN,real,0
129,ZELLE FROM OOOOO ON 08/29 REF # JPM99AMRAMT5 TEST,real,0
130,ZELLE FROM OOOOO ON 08/28 REF # COFA3QIPAR4N,real,0
131,TRAVELERS PER INSUR 240826 1177143 UNKNOWN *UNKNOWN,real,0
132,FANNIE MAE DIRECT DEP 240823 535094861491P22 OOOOO,real,0
133,BENEFIT PAYMENT EDI PYMNTS OOOOO OOOOO,real,0
134,FANNIE MAE DIRECT PAY 240819 24081910007731 OOOOO,real,0
135,VENMO PAYMENT 240817 1036337571510 OOOOO,real,0
136,VENMO PAYMENT 240818 1036367213398 OOOOO,real,0
137,ZELLE FROM OOOOO ON 08/19 REF # COFQSQEFN4V2,real,0
138,TRAVELERS PER INSUR 240815 BPITPI172805684 OOOOO,real,0
139,ZELLE FROM OOOOO ON 08/11 REF # COFNXY367HDZ,real,0
140,FANNIE MAE DIRECT DEP 240809 629069781635P22 OOOOO,real,0
141,WF Credit Card AUTO PAY 240802 OOOOO OOOOO,real,0
142,WF Credit Card AUTO PAY 240801 OOOOO OOOOO,real,0
143,ZELLE TO OOOOO ON 07/28 REF #PP0XXPHGQ5,real,0
144,ZELLE TO OOOOO ON 07/27 REF #RP0XXMW95D GUITAR JULY,real,0
145,FANNIE MAE DIRECT DEP 240726 595067835251P22 OOOOO,real,0
146,BOARD OF REGENTS Georgia Te 071724 OOOOO,real,0
147,ZELLE FROM OOOOO ON 07/14 REF # PP0SF7ZS5M AUTO INSURANCE CREDIT,real,0
148,ZEL ZELLE TO LIU BAOZHU,real,1
149,ECK VENMO 3264681992  BR PAYMENT,real,0
150,INT INTEREST CREDIT,real,0
151,ECK VENMO 3264681992  BR PAYMENT,real,0
152,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
153,ZEL ZELLE FROM MARTINEZ JARON,real,0
154,ECK VENMO 3264681992  BR PAYMENT,real,0
155,ECK VENMO 3264681992  BR PAYMENT,real,0
156,ECK VENMO 3264681992  BR PAYMENT,real,0
157,ECK VENMO 3264681992  BR PAYMENT,real,0
158,ECK VENMO 3264681992  BR PAYMENT,real,0
159,ECK VENMO 3264681992  BR PAYMENT,real,0
160,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
161,ECK AMEX EPAYMENT 0005000040  BR ACH PMT,real,0
162,DIR PAYPAL PAYPALSD11  BR TRANSFER,real,0
163,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
164,DIR BENEFIT PAYMENT N943351864  BR EDI PYMNTS,real,0
165,ECK DISCOVER 3510020270  BR E PAYMENT,real,0
166,ZEL ZELLE TO LIU BAOZHU,real,1
167,ECK VENMO 3264681992  BR PAYMENT,real,0
168,ECK VENMO 3264681992  BR PAYMENT,real,0
169,INT INTEREST CREDIT,real,0
170,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
171,ECK VENMO 3264681992  BR PAYMENT,real,0
172,ECK VENMO 3264681992  BR PAYMENT,real,0
173,ECK VENMO 3264681992  BR PAYMENT,real,0
174,ECK VENMO 3264681992  BR PAYMENT,real,0
175,ECK VENMO 3264681992  BR PAYMENT,real,0
176,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
177,ZEL ZELLE FROM FEIERTAG ADRIAN,real,0
178,ECK VENMO 3264681992  BR PAYMENT,real,0
179,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
180,ECK AMEX EPAYMENT 0005000040  BR ACH PMT,real,0
181,ECK DISCOVER 3510020270  BR E PAYMENT,real,0
182,ECK VENMO 3264681992  BR PAYMENT,real,0
183,ZEL ZELLE FROM LI JERRY,real,0
184,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,real,0
185,ZEL ZELLE TO LIU BAOZHU,real,1
186,INT INTEREST CREDIT,real,0
187,ECK VENMO 3264681992  BR PAYMENT,real,0
188,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
189,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,real,0
190,ECK VENMO 3264681992  BR PAYMENT,real,0
191,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
192,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
193,ECK VENMO 3264681992  BR PAYMENT,real,0
194,ECK VENMO 3264681992  BR PAYMENT,real,0
195,ECK VENMO 3264681992  BR PAYMENT,real,0
196,ECK VENMO 3264681992  BR PAYMENT,real,0
197,ECK VENMO 3264681992  BR PAYMENT,real,0
198,ECK VENMO 3264681992  BR PAYMENT,real,0
199,ZEL ZELLE FROM LI PING,real,0
200,ZEL ZELLE FROM MARTINEZ JARON,real,0
201,ECK DISCOVER 3510020270  BR E PAYMENT,real,0
202,ECK VENMO 3264681992  BR PAYMENT,real,0
203,ZEL ZELLE TO LIU BAOZHU,real,1
204,ZEL ZELLE FROM LI PING,real,0
205,ZEL ZELLE FROM LI PING,real,0
206,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
207,DIR VENMO 5264681992  BR CASHOUT,real,0
208,INT INTEREST CREDIT,real,0
209,ECK VENMO 3264681992  BR PAYMENT,real,0
210,ECK VENMO 3264681992  BR PAYMENT,real,0
211,ZEL ZELLE TO BUTTIMER JOHN,real,0
212,ZEL ZELLE FROM Insu UPS,real,0
213,ECK VENMO 3264681992  BR PAYMENT,real,0
214,ECK VENMO 3264681992  BR PAYMENT,real,0
215,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
216,DIR VENMO 5264681992  BR CASHOUT,real,0
217,ECK VENMO 3264681992  BR PAYMENT,real,0
218,ECK VENMO 3264681992  BR PAYMENT,real,0
219,ECK VENMO 3264681992  BR PAYMENT,real,0
220,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
221,ZEL ZELLE FROM WANG JOYCE,real,0
222,ECK VENMO 3264681992  BR PAYMENT,real,0
223,ZEL ZELLE TO KAPLAN JACOB,real,0
224,ZEL ZELLE FROM Insu UPS,real,0
225,ZEL ZELLE TO GEORGE,real,0
226,ECK DISCOVER 3510020270  BR E PAYMENT,real,0
227,ECK VENMO 3264681992  BR PAYMENT,real,0
228,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
229,ECK VENMO 3264681992  BR PAYMENT,real,0
230,ECK VENMO 3264681992  BR PAYMENT,real,0
231,ECK VENMO 3264681992  BR PAYMENT,real,0
232,ECK VENMO 3264681992  BR PAYMENT,real,0
233,DIR VENMO 5264681992  BR CASHOUT,real,0
234,ZEL ZELLE TO LIU BAOZHU,real,1
235,INT INTEREST CREDIT,real,0
236,ECK VENMO 3264681992  BR PAYMENT,real,0
237,ECK VENMO 3264681992  BR PAYMENT,real,0
238,ECK VENMO 3264681992  BR PAYMENT,real,0
239,ECK VENMO 3264681992  BR PAYMENT,real,0
240,ECK VENMO 3264681992  BR PAYMENT,real,0
241,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,real,0
242,ECK VENMO 3264681992  BR PAYMENT,real,0
243,ECK VENMO 3264681992  BR PAYMENT,real,0
244,ZEL ZELLE FROM MARTINEZ JARON,real,0
245,ECK VENMO 3264681992  BR PAYMENT,real,0
246,ECK VENMO 3264681992  BR PAYMENT,real,0
247,ECK VENMO 3264681992  BR PAYMENT,real,0
248,ECK VENMO 3264681992  BR PAYMENT,real,0
249,ECK VENMO 3264681992  BR PAYMENT,real,0
250,ECK VENMO 3264681992  BR PAYMENT,real,0
251,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
252,ZEL ZELLE TO LAUDER JESSE,real,0
253,ECK VENMO 3264681992  BR PAYMENT,real,0
254,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,real,0
255,ECK VENMO 3264681992  BR PAYMENT,real,0
256,ECK VENMO 3264681992  BR PAYMENT,real,0
257,ECK VENMO 3264681992  BR PAYMENT,real,0
258,ECK VENMO 3264681992  BR PAYMENT,real,0
259,ECK VENMO 3264681992  BR PAYMENT,real,0
260,ECK VENMO 3264681992  BR PAYMENT,real,0
261,ECK VENMO 3264681992  BR PAYMENT,real,0
262,ECK VENMO 3264681992  BR PAYMENT,real,0
263,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
264,ECK VENMO 3264681992  BR PAYMENT,real,0
265,ZEL ZELLE FROM MARTINEZ JARON,real,0
266,ECK VENMO 3264681992  BR PAYMENT,real,0
267,DIR VENMO 5264681992  BR CASHOUT,real,0
268,ZEL ZELLE FROM LI PING,real,0
269,ECK DISCOVER 3510020270  BR E PAYMENT,real,0
270,ECK VENMO 3264681992  BR PAYMENT,real,0
271,ECK VENMO 3264681992  BR PAYMENT,real,0
272,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,real,0
273,ECK VENMO 3264681992  BR PAYMENT,real,0
274,ECK VENMO 3264681992  BR PAYMENT,real,0
275,ZEL ZELLE FROM MARTINEZ JARON,real,0
276,ECK VENMO 3264681992  BR PAYMENT,real,0
277,ECK VENMO 3264681992  BR PAYMENT,real,0
278,ECK VENMO 3264681992  BR PAYMENT,real,0
279,ECK VENMO 3264681992  BR PAYMENT,real,0
280,DIR PAYPAL PAYPALSD11  BR TRANSFER,real,0
281,ZEL ZELLE TO LIU BAOZHU,real,1
282,ECK VENMO 3264681992  BR PAYMENT,real,0
283,ZEL ZELLE FROM WANG JOYCE,real,0
284,INT INTEREST CREDIT,real,0
285,ECK VENMO 3264681992  BR PAYMENT,real,0
286,ECK VENMO 3264681992  BR PAYMENT,real,0
287,ECK VENMO 3264681992  BR PAYMENT,real,0
288,DEP Forbright Bank 055003612  BR ACH Trans devr,real,0
289,ECK VENMO 3264681992  BR PAYMENT,real,0
290,ECK VENMO 3264681992  BR PAYMENT,real,0
291,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,real,0
292,ECK VENMO 3264681992  BR PAYMENT,real,0
293,ECK VENMO 3264681992  BR PAYMENT,real,0
294,ECK VENMO 3264681992  BR PAYMENT,real,0
295,ECK VENMO 3264681992  BR PAYMENT,real,0
296,DIR VENMO 5264681992  BR CASHOUT,real,0
297,DEP Forbright Bank 055003612  BR ACH Trans Covering my ass,real,0
298,ATS AUTOMATIC TRANSFER DEPOSIT,real,0
299,ECK VENMO 3264681992  BR PAYMENT,real,0
300,ECK VENMO 3264681992  BR PAYMENT,real,0
301,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
302,ECK VENMO 3264681992  BR PAYMENT,real,0
303,ECK VENMO 3264681992  BR PAYMENT,real,0
304,ECK VENMO 3264681992  BR PAYMENT,real,0
305,DIR VENMO 5264681992  BR CASHOUT,real,0
306,ZEL ZELLE TO LIU BAOZHU,real,1
307,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,real,0
308,ECK VENMO 3264681992  BR PAYMENT,real,0
309,ECK VENMO 3264681992  BR PAYMENT,real,0
310,ZEL ZELLE FROM VO KHUE,real,0
311,ECK VENMO 3264681992  BR PAYMENT,real,0
312,INT INTEREST CREDIT,real,0
313,DIR VENMO 5264681992  BR CASHOUT,real,0
314,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,real,0
315,ECK VENMO 3264681992  BR PAYMENT,real,0
316,ECK VENMO 3264681992  BR PAYMENT,real,0
317,ECK VENMO 3264681992  BR PAYMENT,real,0
318,ECK VENMO 3264681992  BR PAYMENT,real,0
319,ECK VENMO 3264681992  BR PAYMENT,real,0
320,ECK VENMO 3264681992  BR PAYMENT,real,0
321,ECK VENMO 3264681992  BR PAYMENT,real,0
322,DIR VENMO 5264681992  BR CASHOUT,real,0
323,ECK VENMO 3264681992  BR PAYMENT,real,0
324,ECK Forbright Bank 055003612  BR ACH Trans,real,0
325,ZEL ZELLE FROM LI PING,real,0
326,ECK VENMO 3264681992  BR PAYMENT,real,0
327,ECK VENMO 3264681992  BR PAYMENT,real,0
328,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
329,ECK VENMO 3264681992  BR PAYMENT,real,0
330,ECK VENMO 3264681992  BR PAYMENT,real,0
331,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,real,0
332,ECK DISCOVER 2510020270  BR E PAYMENT,real,0
333,ECK VENMO 3264681992  BR PAYMENT,real,0
334,ECK DISCOVER 3510020270  BR E PAYMENT,real,0
335,ECK VENMO 3264681992  BR PAYMENT,real,0
336,ECK Forbright Bank 055003612  BR ACH Trans,real,0
337,ZEL ZELLE FROM WANG JOYCE,real,0
338,DIR VENMO 5264681992  BR CASHOUT,real,0
339,ZEL ZELLE FROM MARTINEZ JARON,real,0
340,ZEL ZELLE TO LIU BAOZHU,real,1
341,ECK VENMO 3264681992  BR PAYMENT,real,0
342,INT INTEREST CREDIT,real,0
343,ZEL ZELLE FROM MARTINEZ JARON,real,0
344,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,real,0
345,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,real,0
346,ECK VENMO 3264681992  BR PAYMENT,real,0
347,ECK PAYPAL PAYPALSI77  BR INST XFER,real,0
348,ECK VENMO 3264681992  BR PAYMENT,real,0
349,ECK VENMO 3264681992  BR PAYMENT,real,0
350,ECK VENMO 3264681992  BR PAYMENT,real,0
351,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,real,0
352,ECK VENMO 3264681992  BR PAYMENT,real,0
353,ECK VENMO 3264681992  BR PAYMENT,real,0
354,ECK VENMO 3264681992  BR PAYMENT,real,0
355,ECK VENMO 3264681992  BR PAYMENT,real,0
356,ECK VENMO 3264681992  BR PAYMENT,real,0
357,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
358,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,real,0
359,ECK VENMO 3264681992  BR PAYMENT,real,0
360,DEP TD BANK NA 1770527921  BR ZELLE JOYCE WANG,real,0
361,DEP TD BANK NA 1770527921  BR ZELLE JOYCE WANG,real,0
362,ZEL ZELLE FROM WANG JOYCE,real,0
363,ECK DISCOVER 3510020270  BR E PAYMENT,real,0
364,ZEL ZELLE TO LIU BAOZHU,real,1
365,ZEL ZELLE FROM MARTINEZ JARON,real,0
366,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,real,0
367,INT INTEREST CREDIT,real,0
368,ECK VENMO 3264681992  BR PAYMENT,real,0
369,ECK VENMO 3264681992  BR PAYMENT,real,0
370,ECK VENMO 3264681992  BR PAYMENT,real,0
371,ECK VENMO 3264681992  BR PAYMENT,real,0
372,ECK VENMO 3264681992  BR PAYMENT,real,0
373,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,real,0
374,ECK VENMO 3264681992  BR PAYMENT,real,0
375,DIR NOTIFICATION  PRE AUTH CREDIT  BR FEDERAL NATIONAL 091000,real,0
376,ECK VENMO 3264681992  BR PAYMENT,real,0
377,ECK VENMO 3264681992  BR PAYMENT,real,0
378,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
379,DIR VENMO 5264681992  BR CASHOUT,real,0
380,ZEL ZELLE TO MASIAS ALEJANDRO,real,0
381,ECK VENMO 3264681992  BR PAYMENT,real,0
382,ECK VENMO 3264681992  BR PAYMENT,real,0
383,ECK VENMO 3264681992  BR PAYMENT,real,0
384,ECK VENMO 3264681992  BR PAYMENT,real,0
385,ECK VENMO 3264681992  BR PAYMENT,real,0
386,ECK VENMO 3264681992  BR PAYMENT,real,0
387,ZEL ZELLE TO LIU BAOZHU,real,1
388,ZEL ZELLE FROM MARTINEZ JARON,real,0
389,ECK VENMO 3264681992  BR PAYMENT,real,0
390,DIR FANNIE MAE 9111111101  BR DIRECT DEP,real,0
391,INT INTEREST CREDIT,real,0
392,ECK VENMO 3264681992  BR PAYMENT,real,0
393,ECK VENMO 3264681992  BR PAYMENT,real,0
394,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,real,0
395,ZEL ZELLE TO RAPID,real,0
396,ECK VENMO 3264681992  BR PAYMENT,real,0
397,ECK VENMO 3264681992  BR PAYMENT,real,0
398,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,real,0
399,ECK VENMO 3264681992  BR PAYMENT,real,0
400,ZEL ZELLE FROM MARTINEZ JARON,real,0
401,ECK VENMO 3264681992  BR PAYMENT,real,0
402,ZEL ZELLE FROM MARTINEZ JARON,real,0
403,ZEL ZELLE FROM MARTINEZ JARON,real,0
404,DIR FANNIE MAE 9111111101  BR DIRECT DEP,real,0
405,ECK VENMO 3264681992  BR PAYMENT,real,0
406,ECK VENMO 3264681992  BR PAYMENT,real,0
407,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
408,POS MC PLCB NEW ECOM 46  BR 7177837637 PA,real,0
409,ECK DISCOVER 3510020270  BR E PAYMENT,real,0
410,ECK VENMO 3264681992  BR PAYMENT,real,0
411,ECK VENMO 3264681992  BR PAYMENT,real,0
412,ECK VENMO 3264681992  BR PAYMENT,real,0
413,ECK VENMO 3264681992  BR PAYMENT,real,0
414,DIR FANNIE MAE 9111111101  BR DIRECT DEP,real,0
415,ZEL ZELLE TO LIU BAOZHU,real,1
416,ECK VENMO 3264681992  BR PAYMENT,real,0
417,ECK VENMO 3264681992  BR PAYMENT,real,0
418,ZEL ZELLE TO GIBSON SAMUEL,real,0
419,INT INTEREST CREDIT,real,0
420,ECK VENMO 3264681992  BR PAYMENT,real,0
421,ECK VENMO 3264681992  BR PAYMENT,real,0
422,ECK VENMO 3264681992  BR PAYMENT,real,0
423,ECK VENMO 3264681992  BR PAYMENT,real,0
424,DIR FANNIE MAE 9111111101  BR DIRECT DEP,real,0
425,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,real,0
426,ECK VENMO 3264681992  BR PAYMENT,real,0
427,ECK VENMO 3264681992  BR PAYMENT,real,0
428,ECK VENMO 3264681992  BR PAYMENT,real,0
429,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,real,0
